variant,alpha,ndcg10,ndcg1,ndcg3,ndcg5,ndcg30,ndcg50,ndcg100
V1_PASSAGE_SELECTION,2.2,0.6102786850006251,0.6320754716981133,0.6575064133582069,0.6496349270239024,0.536889203286181,0.478496685414174,0.3875973477846812
V1_PASSAGE_SELECTION,2.3,0.6093716110109821,0.6320754716981133,0.6589821326224294,0.650607988849729,0.537225329350371,0.4790132449582946,0.3878973235659206
V1_PASSAGE_SELECTION,2.4,0.61130522683994,0.6446540880503147,0.6655878667051207,0.6510692231690131,0.536598937629974,0.4799519770561326,0.3884340089131959
V1_PASSAGE_SELECTION,2.5,0.6125090714977425,0.6446540880503147,0.6673807618311393,0.6513523512636351,0.5366424055831137,0.48007760884897305,0.3884672064430052
V1_PASSAGE_SELECTION,2.6,0.6135180983929117,0.6446540880503147,0.6673807618311393,0.6497954526303376,0.5360151434654017,0.48029131833806105,0.38858237404098817
V1_PASSAGE_SELECTION,2.7,0.6141072378975145,0.6572327044025159,0.6694341241351427,0.651344086826611,0.5360919164936148,0.48041460718444773,0.38892130062411506
V1_PASSAGE_SELECTION,2.8,0.6147499256365063,0.6572327044025159,0.6698205552543534,0.6516233708649615,0.5362478405459081,0.48045550230907413,0.3890201984980353
V1_PASSAGE_SELECTION,2.9,0.615725414788304,0.6572327044025159,0.6712962745185758,0.6526521576153582,0.5373011477766165,0.4804582575749483,0.3891530510721641
V1_PASSAGE_SELECTION,3.0,0.6171517313065528,0.6572327044025159,0.6730891696445943,0.6531019143560378,0.5385909241897812,0.4805487594754315,0.38930943562194775
V1_PASSAGE_SELECTION,3.1,0.6182397593626201,0.6572327044025159,0.6727027385253838,0.6529161100178784,0.5388607689671517,0.48041824111987746,0.3892920349705613
V1_PASSAGE_SELECTION,3.2,0.620729631453974,0.6635220125786164,0.6740261470173442,0.6548444457121123,0.5388150105376512,0.4805401815957577,0.38953390921722264
V1_PASSAGE_SELECTION,3.3,0.6186783377537707,0.6635220125786164,0.6740261470173442,0.6542389377143627,0.5389898206572024,0.4804158875789127,0.38960568079905766
V1_PASSAGE_SELECTION,3.4,0.6213473204397139,0.6635220125786164,0.6740261470173442,0.6560621330392991,0.538944603128619,0.48025685044167504,0.38962542146869394
V1_PASSAGE_SELECTION,3.5,0.6213919731795038,0.6635220125786164,0.6740261470173442,0.6558424518703044,0.5381380390194344,0.4801393608651976,0.3894977633056923
V1_PASSAGE_SELECTION,3.6,0.6238165759591043,0.6761006289308177,0.6776804425715905,0.6568331300381679,0.5376151787417225,0.4803719182070765,0.39004664679973833
V1_PASSAGE_SELECTION,3.7,0.624286302207228,0.6761006289308177,0.6784533048100118,0.6573916981148689,0.5374647878056147,0.48034133898248904,0.3901961228487793
